# task name, seed, reparam, mode, median mse, 75 quantile 
2v2_20220715_225709, 0, exp, default, 0.04618974, 0.0768443
2v2_20220716_003932, 1, exp, default, 0.04311982, 0.07604762
2v2_20220716_021923, 2, exp, default, 0.04510017, 0.07646161
2v3_20220715_230604, 0, exp, default, 0.00261081, 0.05919462
2v3_20220716_004837, 1, exp, default, 0.00364393, 0.03006099
2v3_20220716_022844, 2, exp, default, 0.00274326, 0.03019784
2v4_20220715_231733, 0, exp, default, 0.00124526, 0.0175596 
2v4_20220716_005955, 1, exp, default, 0.00142251, 0.01563386
2v4_20220716_024017, 2, exp, default, 0.00130786, 0.01144546
2v5_20220715_233340, 0, exp, default, 0.00104899, 0.01447611
2v5_20220716_011610, 1, exp, default, 0.00076526, 0.01045762
2v5_20220716_025618, 2, exp, default, 0.00123623, 0.01964483
2v6_20220715_235605, 0, exp, default, 0.00113556, 0.01930261
2v6_20220716_013802, 1, exp, default, 0.00095194, 0.01533917
2v6_20220716_031758, 2, exp, default, 0.00101676, 0.0224346 

2v6_20220719_175740, 0, exp, default, 0.00041802, 0.00336319
2v6_20220721_001641, 0, exp, default, 0.00041208, 0.00426784
2v6_20220721_151552, 0, exp, default, 0.00041802, 0.00336319
2v8_20220719_183027, 0, exp, default, 0.00032732, 0.0021145 
2v8_20220721_004950, 0, exp, default, 0.00031249, 0.00270661